Anio;NombreCurso;Tipo de capacitación;Nombre corto;Plataforma de dictado;Autorización para el dictado de la capacitación;La inscripción a la capacitación, se realizará a través de:;Ministerio;Área;codMinistero;codArea;codPlataformaDicado;codMedioInscipcion;codTipoCapacitacion
2024;Consumo de sustancias en el ámbito laboral ¿Cómo prevenir? ¿Cómo actuar?;Curso e-learning;C-AT;Campus Córdoba;DARIO GIGENA PARKER SECRETARIO DE ADICCIONES;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Correcto llenado del Certificado de Defunción;Curso e-learning;C-CLLCD;Campus Córdoba;Mgter. Laura López - Directora de Jurisdicción de Epidemiología.;FUP;Ministerio de Salud;Dirección de Epidemiología - Departamento de Estadísticas;MS;DEDE;CC;FUP;EL
2024;Crianza Saludable: Orientaciones y herramientas técnicas para la prevención;Curso e-learning;C-HTCS;Campus Córdoba;secretario de adicciones Dario Gigena Parker;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Curso de Capacitación y formación en vacunación;Curso e-learning;C-CFV;Campus Córdoba;Paula Francisca Barbero - Coordinadora del Departamento de Inmunizaciones;Portal Campus Córdoba;Ministerio de Salud;Dirección de Jurisdicción de Epidemiologia - Departamento de Inmunizaciones;MS;DJEDI;CC;PCC;EL
2024;Curso Virtual de Capacitación y Formación de Equipos de Respuesta Rápida de Sarampión, Rubéola y Poliomielitis;Curso e-learning;C-CFERR;Campus Córdoba;Directora, Dra. Ana Patricia Willington;Portal Campus Córdoba;Ministerio de Salud;Dirección de Jurisdicción de Epidemiologia - Departamento de Inmunizaciones;MS;DJEDI;CC;PCC;EL
2024;Dejar de Fumar: Programa de Cesación Tabáquica;Curso e-learning;C-DFPC;Campus Córdoba;Secretario de adicciones Dario Gigena Parker;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Diagnóstico por imágenes;Curso e-learning;C-DPI;Campus Córdoba;Gabriel Alberto Strumia;Portal Campus Córdoba;Ministerio de Salud;Dirección General de Sistemas de Gestión Hospitalaria;MS;DGSGH;CC;PCC;EL
2024;Dispositivos para la Prevención y la Asistencia de las Adicciones;Curso e-learning;C-ADDBP;Campus Córdoba;Darío Gigena Parker;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Donacion de sangre: un acto de responsabilidad social;Curso e-learning;C-DDS;Campus Córdoba;Dr Carlos Giordana - Secretario de salud. Ministerio de salud de la provincia de Cordoba;Portal Campus Córdoba;Ministerio de Salud;Departamento del Sistema Provincial de Córdoba de Sangre;MS;DSPS;CC;PCC;EL
2024;Donación y trasplante: una práctica médico social;Curso e-learning;C-DYT;Campus Córdoba;Marcial Angós, director del Ecodaic;Portal Campus Córdoba;Ministerio de Salud;Ecodaic - Ente Coordinador de Ablación e Implante de Córdoba;MS;EECAIC;CC;PCC;EL
